Concept,count
http://dbpedia.org/class/yago/WikicatBaronsInThePeerageOfTheUnitedKingdom,1331
http://dbpedia.org/class/yago/WikicatAmericanMaleChildActors,1325
http://dbpedia.org/class/yago/WikicatBirdGenera,1320
http://dbpedia.org/class/yago/WikicatPeopleFromBudapest,1320
"http://dbpedia.org/class/yago/WikicatAlumniOfChristChurch,Oxford",1313
http://dbpedia.org/class/yago/WikicatTownshipsInOhio,1311
http://dbpedia.org/class/yago/WikicatAsteroidsNamedForPeople,1307
http://dbpedia.org/class/yago/WikicatBelgianPeople,1298
http://dbpedia.org/class/yago/WikicatOlympicSilverMedalistsForTheUnitedStates,1297
http://dbpedia.org/class/yago/WikicatAmericanFemaleModels,1293
http://dbpedia.org/class/yago/WikicatAmericanMaleProfessionalWrestlers,1291
http://dbpedia.org/class/yago/WikicatPeopleFromEdinburgh,1290
http://dbpedia.org/class/yago/WikicatAlumniOfTheUniversityOfLondon,1288
http://dbpedia.org/class/yago/WikicatTurkishFootballers,1285
http://dbpedia.org/class/yago/WikicatAtlanticRecordsAlbums,1283
http://dbpedia.org/class/yago/WikicatTrackCyclists,1282
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInGymnastics,1280
http://dbpedia.org/class/yago/WikicatAmericanBloggers,1280
http://dbpedia.org/class/yago/WikicatAustralianCricketers,1277
http://dbpedia.org/class/yago/WikicatTownsInWisconsin,1275
http://dbpedia.org/class/yago/WikicatAmericanFootballOffensiveTackles,1273
http://dbpedia.org/class/yago/WikicatAmericanRomanticComedyFilms,1272
http://www.wikidata.org/entity/Q133056,1269
http://dbpedia.org/class/yago/WikicatPeopleFromGlasgow,1266
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfScottishDescent,1245
http://dbpedia.org/class/yago/WikicatTownshipsInMichigan,1238
http://dbpedia.org/class/yago/WikicatAmericanFootballDefensiveTackles,1237
"http://dbpedia.org/class/yago/WikicatPeopleFromCleveland,Ohio",1237
http://dbpedia.org/class/yago/WikicatAmericanScienceFictionNovels,1231
http://dbpedia.org/class/yago/WikicatAlumniOfKing'sCollegeLondon,1231
http://dbpedia.org/class/yago/WikicatAmericanIllustrators,1228
http://dbpedia.org/class/yago/WikicatAmericanRomanCatholicBishops,1227
