classes,count
http://dbpedia.org/ontology/Artwork,7190
http://dbpedia.org/dbtax/Controversy,7155
http://dbpedia.org/dbtax/Technique,7145
http://dbpedia.org/ontology/Wrestler,7145
http://dbpedia.org/dbtax/Institute,7128
http://www.wikidata.org/entity/Q159719,7098
http://dbpedia.org/ontology/MemberOfParliament,7091
http://schema.org/Park,7047
http://dbpedia.org/ontology/Presenter,7038
http://wikidata.dbpedia.org/ontology/MemberOfParliament,7029
http://dbpedia.org/ontology/Coach,6985
http://dbpedia.org/dbtax/Constituency,6972
http://wikidata.dbpedia.org/ontology/Coach,6916
http://www.wikidata.org/entity/Q8274,6912
http://dbpedia.org/ontology/Cartoon,6910
http://wikidata.dbpedia.org/ontology/CollegeCoach,6848
http://dbpedia.org/ontology/RailwayLine,6829
http://dbpedia.org/ontology/Amphibian,6804
http://wikidata.dbpedia.org/ontology/PoliticalParty,6771
http://www.wikidata.org/entity/Q93301,6698
http://dbpedia.org/dbtax/Presenter,6658
http://dbpedia.org/ontology/MilitaryStructure,6653
http://dbpedia.org/ontology/Boxer,6634
http://www.wikidata.org/entity/Q18127,6620
